Primary category name,Secondary category name,Tertiary category name,attribute,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,,
Baby clothing,Children's outdoor wear,Children's trousers,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's outdoor wear,Children's trousers,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's trousers,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's trousers,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's trousers,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's outdoor wear,Children's trousers,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's jacket,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's outdoor wear,Children's jacket,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's jacket,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's jacket,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's jacket,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's outdoor wear,Children's jacket,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Child sun protection clothing,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's outdoor wear,Child sun protection clothing,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Child sun protection clothing,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Child sun protection clothing,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Child sun protection clothing,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's outdoor wear,Child sun protection clothing,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's soft shell pants,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's outdoor wear,Children's soft shell pants,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's soft shell pants,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's soft shell pants,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's soft shell pants,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's outdoor wear,Children's soft shell pants,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's soft shell,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's outdoor wear,Children's soft shell,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's soft shell,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's soft shell,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
